scenario,cartime,carcost,acttime,ebikecost,escootcost
scenario01,1,1,1,1,1
scenario02,2,2,2,2,2
scenario03,3,3,3,3,3
scenario04,3,2,3,2,1
scenario05,1,3,1,3,2
scenario06,2,1,2,1,3
scenario07,3,2,2,1,2
scenario08,1,3,3,2,3
scenario09,2,1,1,3,1
scenario10,2,3,3,1,3
scenario11,3,1,1,2,1
scenario12,1,2,2,3,2
scenario13,2,2,1,3,3
scenario14,3,3,2,1,1
scenario15,1,1,3,2,2
scenario16,1,1,2,1,3
scenario17,2,2,3,2,1
scenario18,3,3,1,3,2
scenario19,3,3,2,3,1
scenario20,1,1,3,1,2
scenario21,2,2,1,2,3
scenario22,2,1,3,3,2
scenario23,3,2,1,1,3
scenario24,1,3,2,2,1
scenario25,2,3,2,2,2
scenario26,3,1,3,3,3
scenario27,1,2,1,1,1
scenario28,3,1,1,2,2
scenario29,1,2,2,3,3
scenario30,2,3,3,1,1
scenario31,1,3,1,2,3
scenario32,2,1,2,3,1
scenario33,3,2,3,1,2
scenario34,1,2,3,3,1
scenario35,2,3,1,1,2
scenario36,3,1,2,2,3
