scenario,type,pav,obst,cross,veh,bike,ped,slope,block
scenario01,1,0,0,2,3,2,2,0,3
scenario02,3,0,1,1,2,3,3,1,2
scenario03,3,0,0,2,3,3,3,1,2
scenario04,4,0,0,1,2,2,2,0,3
scenario05,4,1,1,2,1,1,2,1,2
scenario06,2,1,0,0,3,2,1,1,1
scenario07,4,1,0,2,1,2,1,0,1
scenario08,1,1,0,0,3,1,2,1,2
scenario09,2,0,1,1,1,3,1,1,3
scenario10,2,0,1,0,2,1,3,0,1
scenario11,1,1,1,1,1,1,3,0,1
scenario12,3,1,1,0,2,3,1,0,3
scenario13,1,0,0,0,1,3,3,0,1
scenario14,3,0,1,2,3,1,1,1,3
scenario15,3,0,0,0,1,1,1,1,3
scenario16,4,0,0,2,3,3,3,0,1
scenario17,4,1,1,0,2,2,3,1,3
scenario18,2,1,0,1,1,3,2,1,2
scenario19,4,1,0,0,2,3,2,0,2
scenario20,1,1,0,1,1,2,3,1,3
scenario21,2,0,1,2,2,1,2,1,1
scenario22,2,0,1,1,3,2,1,0,2
scenario23,1,1,1,2,2,2,1,0,2
scenario24,3,1,1,1,3,1,2,0,1
scenario25,1,0,0,1,2,1,1,0,2
scenario26,3,0,1,0,1,2,2,1,1
scenario27,3,0,0,1,2,2,2,1,1
scenario28,4,0,0,0,1,1,1,0,2
scenario29,4,1,1,1,3,3,1,1,1
scenario30,2,1,0,2,2,1,3,1,3
scenario31,4,1,0,1,3,1,3,0,3
scenario32,1,1,0,2,2,3,1,1,1
scenario33,2,0,1,0,3,2,3,1,2
scenario34,2,0,1,2,1,3,2,0,3
scenario35,1,1,1,0,3,3,2,0,3
scenario36,3,1,1,2,1,2,3,0,2
